Title,Acronym,sourceAccessedOn,AberOWL,AgroPortal,BARTOC ,BioPortal ,Bioregistry ,NERC ,EcoPortal ,FAIRsharing ,LOTERRE ,LOV ,MMI-ORR ,Ontobee ,OBO-Foundry ,OLS ,ARDC 
Physico-Chemical Process,REX,06-07-2023,2017,,,2017,2017,,,Not specified,,,,2017,Not specified,2017,
Planarian Phenotype Ontology,PLANP,05-07-2023,2020,,,2020,2020,,,,,,,2020,2020,2020,
Plant Experimental Assay Ontology,PEAO,05-07-2023,,2019,,2019,,,,Not specified,,,,,,,
Plant Experimental Conditions Ontology,PECO,05-07-2023,2020,2020,,2020,2020,,,Not specified,,,,2020,2020,2020,
Plant Ontology,PO,05-07-2023,2021,2021,Not specified,2021,2021,,,2021,,,,2021,2021,2021,
Plant Phenology Ontology,PPO,05-07-2023,2018,2018,,2018,2018,,,Not specified,,,,2018,1905-07-10,2018,
Plant Stress Ontology,PSO,06-07-2023,2020,,,2020,2020,,,,,,,2020,2016,2020,
Plant Trait Ontology,PTO,05-07-2023,2016,2018,,2022,2022,,,2022,,,,2022,2022,2022,
PLOS thesaurus,,05-07-2023,plosthes.2017-1,,Not specified,plosthes.2017-1,,,,plosthes.2020-1,,,,,,,
Population and Community ontology,PCO,06-07-2023,2021,2021,,2021,2021,,2021,,,,,2021,Not specified,2021,
Porifera Ontology,PORO,05-07-2023,2021,,,2021,2016,,,Not specified,,,,2016,2016,2016,
"QUDT semantic specifications for units of measure, quantity kind, dimensions and data types",QUDT,05-07-2023,,,Not specified,2023,Not specified,,,Not specified,,2020,,,,,2023-01-13
Reproductive Trait and Phenotype Ontology,REPO,05-07-2023,1.1,,,1.1,,,,Not specified,,,,,,,
Reusable Biodiversity Ontology,RDO,05-07-2023,2.24.00,,,1.1,,,,,,,,,,,
Salmon Ontology,SALMON,05-07-2023,0.3.1,,,0.3.1,,,,,,,,,,,
Sample Processing and Separation Techniques Ontology,SEP,05-07-2023,1179.28.00,,,1179.28.00,Not specified,,,,,,,Not specified,Not specified,,
SAREF extension for environment,SAREF4ENVI,07-07-2023,,2020,,,,,,,,2021,,,,,
SeaDataNet device categories,L05,05-07-2023,,,,,,87,,,,,,,,,86
SeaDataNet Parameter Disciplines,P08,05-07-2023,,,,,,5,,,,,,,,,5
SeaDataNet Parameter Discovery Vocabulary,P02,05-07-2023,,,,,,123,,,,,,,,,120
SeaDataNet sea areas,C16,05-07-2023,,,,,,9,,,,,,,,,9
SeaVoX Device Catalogue,L22,05-07-2023,,,,,,637,,,,,,,,,609
Semantic Sensor Network Ontology,SSN,05-07-2023,,,2017,2017,,,,,,2016,,,,,
Semantic Web for Earth and Environment Technology Ontology,SWEET,05-07-2023,,,,3.6.0,1.2,,,,,,,,,,
Semanticscience Integrated Ontology,SIO,05-07-2023,1.59,,Not specified,1.59,,,,,,8.09,,14.09,,1.53,
"Sensor, Observation, Sample, and Actuator Ontology",SOSA,05-07-2023,,2017,,,,,,,,2017,,,,,
Social Insects Behavior Ontology,SIBO,06-07-2023,2017,,,2017,2015,,,2015,,,,2017,2015,2015,
Solanaceae Phenotype Ontology,SPTO,06-07-2023,2017,2021,,2021,,,,Not specified,,,,,,,
Soy Ontology,SOY,06-07-2023,,2020,,2013,,,,Not specified,,,,,,,
Spider Ontology,SPD,06-07-2023,Not specified,,,1.1,1.0,,,1.0,,,,1.0,1.0,,
Sustainable Development Goals Interface Ontology,SDGIO,06-07-2023,,2018,,,2018,,,Not specified,,,,2018,,2018,
Taxonomic rank vocabulary,TAXRANK,06-07-2023,2017,,,2016,2016,,,Not specified,,,,2016,2016,2016,
TAXREF-LD,TAXREF-LD,06-07-2023,,15.2,,,,,,,,15.2,,,,,
Teleost taxonomy ontology,TTO,06-07-2023,2017,,,2012,2012,,,2012,,,,2012,2012,,
The Amphioxus Development and Anatomy Ontology,AMPHX,06-07-2023,2020,,,2020,2020,,,,,,,2020,2020,2020,
The Echinoderm Anatomy and Development Ontology,ECAO,06-07-2023,2020,,,2020,2020,,,,,,,2020,2020,2020,
Uberon multi-species anatomy ontology,UBERON,06-07-2023,2023,,2020,2023,2023,,,Not specified,,,,2023,2023,2022,2021
Unified phenotype ontology,uPheno,07-07-2023,2021,,,2021,2017,,,Not specified,,,,Not specified,Not specified,2017,
Units of measurement ontology,UO,06-07-2023,2023,,Not specified,2023,2023,,,2023,,,,2023,2023,2020,
